season,variant,k,n,mae,n_bets,ats,n_big,ats_big,mean_gap
2019,current,104,773,14.029590140374289,755,0.4860927152317881,368,0.5027173913043478,7.071633929075016
2019,diff,52,773,13.94566858155872,755,0.49801324503311256,358,0.49162011173184356,6.867312072054999
2019,diff+decay,28,773,13.914945559026759,755,0.49801324503311256,370,0.5216216216216216,7.00888264946387
2019,diff+matchup,54,773,13.85576900529686,755,0.5059602649006623,366,0.4972677595628415,6.779442357117944
2019,diff+decay+matchup,30,773,13.942443916634362,755,0.5019867549668874,364,0.4945054945054945,6.963289693566197
2020,current,104,592,13.95159418851993,527,0.5123339658444023,248,0.5120967741935484,6.801271568512062
2020,diff,52,592,14.002718198917824,527,0.5161290322580645,244,0.5122950819672131,6.884235286400991
2020,diff+decay,28,592,13.905687280763821,527,0.5123339658444023,248,0.5161290322580645,6.62564102226948
2020,diff+matchup,54,592,13.94958420842886,527,0.5218216318785579,248,0.532258064516129,6.814705903331439
2020,diff+decay+matchup,30,592,13.927079929995376,527,0.523719165085389,240,0.5208333333333334,6.635949803436491
2021,current,104,742,14.234277918201814,729,0.48148148148148145,329,0.48024316109422494,6.459768015820835
2021,diff,52,742,14.214293279612281,729,0.4869684499314129,324,0.49691358024691357,6.530695676838828
2021,diff+decay,28,742,14.26608991979388,729,0.522633744855967,323,0.4953560371517028,6.430238829945793
2021,diff+matchup,54,742,14.297580048356537,729,0.4869684499314129,329,0.48632218844984804,6.507601363226973
2021,diff+decay+matchup,30,742,14.256401993434705,729,0.5157750342935528,327,0.4923547400611621,6.4057705751141985
2022,current,104,736,13.229793164742421,722,0.48476454293628807,337,0.5459940652818991,6.446619601137176
2022,diff,52,736,13.2400639841166,722,0.5013850415512465,322,0.5403726708074534,6.36035593392036
2022,diff+decay,28,736,13.310051006786322,722,0.5055401662049861,325,0.5230769230769231,6.471935381973479
2022,diff+matchup,54,736,13.224067265009026,722,0.5069252077562327,312,0.5480769230769231,6.3685214533723995
2022,diff+decay+matchup,30,736,13.286283711229613,722,0.5041551246537396,324,0.5185185185185185,6.470779143755331
2023,current,104,737,13.093366176627951,722,0.5166204986149584,292,0.5445205479452054,5.782908141815193
2023,diff,52,737,13.026105400591867,722,0.5235457063711911,281,0.5836298932384342,5.91597808752679
2023,diff+decay,28,737,13.118488076851884,722,0.5346260387811634,296,0.5574324324324325,6.050670872292048
2023,diff+matchup,54,737,13.035513247918018,722,0.5318559556786704,277,0.5595667870036101,5.82909365506082
2023,diff+decay+matchup,30,737,13.077448978771177,722,0.5332409972299169,305,0.5770491803278689,6.037156324288991
2024,current,104,803,14.212609060928642,786,0.5076335877862596,392,0.48214285714285715,6.89870732624993
2024,diff,52,803,14.214186942798653,786,0.494910941475827,378,0.47883597883597884,7.0018208654827045
2024,diff+decay,28,803,14.146287250080857,786,0.4821882951653944,372,0.4838709677419355,6.891337782784758
2024,diff+matchup,54,803,14.270426107344077,786,0.494910941475827,387,0.4806201550387597,7.070990059692656
2024,diff+decay+matchup,30,803,14.200502382909153,786,0.48854961832061067,368,0.48641304347826086,6.939765351229483
2025,current,104,809,14.043165985421176,793,0.47793190416141235,350,0.4542857142857143,6.586167487261727
2025,diff,52,809,13.896483009755357,793,0.4930643127364439,354,0.4745762711864407,6.6177286421045505
2025,diff+decay,28,809,13.965111028366206,793,0.47540983606557374,367,0.4659400544959128,6.6034695875723886
2025,diff+matchup,54,809,13.900474307547485,793,0.4905422446406053,353,0.4702549575070821,6.60319024453582
2025,diff+decay+matchup,30,809,13.98404562840991,793,0.48297604035308955,372,0.46236559139784944,6.638123205046737
