season,variant,k,n,mae,n_bets,ats,n_big,ats_big
2019,base (28 columns),28,773,13.914945559026759,755,0.49801324503311256,370,0.5216216216216216
2019,+ travel,29,773,13.981083503858045,755,0.4966887417218543,368,0.483695652173913
2019,+ climb,29,773,14.034655979307992,755,0.4913907284768212,371,0.5013477088948787
2019,+ both,30,773,14.083814853607143,755,0.49933774834437084,373,0.47989276139410186
2020,base (28 columns),28,592,13.905687280763821,527,0.5123339658444023,248,0.5161290322580645
2020,+ travel,29,592,13.9064643822258,527,0.5180265654648957,242,0.5041322314049587
2020,+ climb,29,592,13.900088860382754,527,0.523719165085389,237,0.5021097046413502
2020,+ both,30,592,13.83129798746479,527,0.5313092979127134,242,0.5206611570247934
2021,base (28 columns),28,742,14.26608991979388,729,0.522633744855967,323,0.4953560371517028
2021,+ travel,29,742,14.213536066502694,729,0.5157750342935528,308,0.5064935064935064
2021,+ climb,29,742,14.187917879319466,729,0.5075445816186557,327,0.5076452599388379
2021,+ both,30,742,14.164451049578018,729,0.5198902606310014,312,0.4967948717948718
2022,base (28 columns),28,736,13.310051006786322,722,0.5055401662049861,325,0.5230769230769231
2022,+ travel,29,736,13.26072707143359,722,0.5221606648199446,326,0.5276073619631901
2022,+ climb,29,736,13.324277654678673,722,0.5152354570637119,335,0.5402985074626866
2022,+ both,30,736,13.288074601731395,722,0.5207756232686981,329,0.5319148936170213
2023,base (28 columns),28,737,13.118488076851884,722,0.5346260387811634,296,0.5574324324324325
2023,+ travel,29,737,13.045541437158267,722,0.5263157894736842,297,0.569023569023569
2023,+ climb,29,737,13.070202897511312,722,0.5415512465373962,304,0.5592105263157895
2023,+ both,30,737,13.069098427917005,722,0.5373961218836565,305,0.5540983606557377
2024,base (28 columns),28,803,14.146287250080857,786,0.4821882951653944,372,0.4838709677419355
2024,+ travel,29,803,14.11363535918119,786,0.48982188295165396,363,0.4931129476584022
2024,+ climb,29,803,14.160945680038829,786,0.4796437659033079,373,0.4906166219839142
2024,+ both,30,803,14.137710013147327,786,0.4847328244274809,370,0.5054054054054054
2025,base (28 columns),28,809,13.965111028366206,793,0.47540983606557374,367,0.4659400544959128
2025,+ travel,29,809,13.95417847260902,793,0.4766708701134931,362,0.4723756906077348
2025,+ climb,29,809,13.906255044796813,793,0.4728877679697352,368,0.47554347826086957
2025,+ both,30,809,13.92445006426677,793,0.47540983606557374,363,0.4793388429752066
