season,variant,n,mae,n_bets,ats
2019,keep all,773,13.914945559026759,755,0.49801324503311256
2019,drop pf_qb,773,13.896548007702862,755,0.5019867549668874
2019,drop pf_rb,773,13.915403559738902,755,0.495364238410596
2019,drop pf_wr,773,13.859653567271199,755,0.5099337748344371
2019,drop pf_te,773,13.909189907855621,755,0.4966887417218543
2019,drop pf_ol,773,13.831426046397127,755,0.5152317880794702
2019,drop pf_f7,773,13.922197856414426,755,0.49933774834437084
2019,drop pf_db,773,13.938344404082095,755,0.49801324503311256
2019,drop pf_st,773,13.928153949029465,755,0.5019867549668874
2020,keep all,592,13.905687280763821,527,0.5123339658444023
2020,drop pf_qb,592,13.928740493613422,527,0.5275142314990512
2020,drop pf_rb,592,13.91960409700216,527,0.5294117647058824
2020,drop pf_wr,592,13.934750188905053,527,0.5351043643263758
2020,drop pf_te,592,13.936852747561863,527,0.523719165085389
2020,drop pf_ol,592,14.013448856166104,527,0.5180265654648957
2020,drop pf_f7,592,13.956733754186299,527,0.5218216318785579
2020,drop pf_db,592,13.872101859416109,527,0.5180265654648957
2020,drop pf_st,592,13.894343933754449,527,0.5351043643263758
2021,keep all,742,14.26608991979388,729,0.522633744855967
2021,drop pf_qb,742,14.248160490888544,729,0.50480109739369
2021,drop pf_rb,742,14.265345785997788,729,0.4897119341563786
2021,drop pf_wr,742,14.268204186593668,729,0.5075445816186557
2021,drop pf_te,742,14.267708752901768,729,0.5116598079561042
2021,drop pf_ol,742,14.254369666129652,729,0.5130315500685871
2021,drop pf_f7,742,14.210158504957379,729,0.5061728395061729
2021,drop pf_db,742,14.292665392964027,729,0.49519890260631
2021,drop pf_st,742,14.286304164460716,729,0.4993141289437586
2022,keep all,736,13.310051006786322,722,0.5055401662049861
2022,drop pf_qb,736,13.351860446632719,722,0.5013850415512465
2022,drop pf_rb,736,13.32074922861711,722,0.4986149584487535
2022,drop pf_wr,736,13.345445434852635,722,0.5013850415512465
2022,drop pf_te,736,13.320519234165145,722,0.5055401662049861
2022,drop pf_ol,736,13.309454167631213,722,0.5069252077562327
2022,drop pf_f7,736,13.291924946888289,722,0.5055401662049861
2022,drop pf_db,736,13.353527416662393,722,0.502770083102493
2022,drop pf_st,736,13.336277739258746,722,0.5069252077562327
2023,keep all,737,13.118488076851884,722,0.5346260387811634
2023,drop pf_qb,737,13.123025299737348,722,0.5318559556786704
2023,drop pf_rb,737,13.143227321766771,722,0.5346260387811634
2023,drop pf_wr,737,13.106029948247457,722,0.5373961218836565
2023,drop pf_te,737,13.116899956553528,722,0.53601108033241
2023,drop pf_ol,737,13.12364974177191,722,0.5249307479224377
2023,drop pf_f7,737,13.12809752075828,722,0.5263157894736842
2023,drop pf_db,737,13.100627643777768,722,0.5332409972299169
2023,drop pf_st,737,13.136944417092378,722,0.5249307479224377
2024,keep all,803,14.146287250080857,786,0.4821882951653944
2024,drop pf_qb,803,14.13542630488765,786,0.48982188295165396
2024,drop pf_rb,803,14.182827185883488,786,0.4821882951653944
2024,drop pf_wr,803,14.117230697751861,786,0.4860050890585242
2024,drop pf_te,803,14.147829903874216,786,0.48091603053435117
2024,drop pf_ol,803,14.204170782014653,786,0.49872773536895676
2024,drop pf_f7,803,14.279635294123668,786,0.47837150127226463
2024,drop pf_db,803,14.111119356140922,786,0.5025445292620865
2024,drop pf_st,803,14.183154370243734,786,0.4910941475826972
2025,keep all,809,13.965111028366206,793,0.47540983606557374
2025,drop pf_qb,809,13.928954716583045,793,0.48297604035308955
2025,drop pf_rb,809,13.97480211900006,793,0.4854981084489281
2025,drop pf_wr,809,13.992560237427375,793,0.4791929382093317
2025,drop pf_te,809,13.933353768847105,793,0.4766708701134931
2025,drop pf_ol,809,13.897677132314156,793,0.4791929382093317
2025,drop pf_f7,809,14.08208753015473,793,0.47793190416141235
2025,drop pf_db,809,14.0191248979728,793,0.4766708701134931
2025,drop pf_st,809,13.978181328976754,793,0.48045397225725095
