,week,pre_szn_coefs,in_szn_coefs,intercepts,n_games
0,Week 1,1.0,0.0,0.0,236
1,Week 2,0.9215778737450829,0.5614910937388026,-2.0809172552760042,256
2,Week 3,1.0102726213589825,0.7225973488819463,-3.254436291731487,267
3,Week 4,0.7205251641964185,0.8886114249762734,-2.7254026092151635,306
4,Week 5,0.6354733415494981,0.6012621752773457,-0.594690569647113,297
5,Week 6,0.4945277099833635,0.7201556360039784,-0.46783554478910006,277
6,Week 7,0.6317688485451431,0.5859669193680805,-0.004294295547327742,291
7,Week 8,0.35045188159520374,0.8553096349748976,-0.5836225692272281,314
8,Week 9,0.40398329094399665,0.8367747476764004,0.8443408909508179,300
9,Week 10,0.2707827465346815,0.9269014289719496,-1.8178568967831765,326
10,Week 11,0.4379242195864953,0.992292963860495,-0.3950172210245393,334
11,Week 12,0.4050473988559511,0.8179223606699378,0.5994095610206349,337
12,Week 13,0.5112375102344313,0.8288544088479474,-0.9357520009486082,352
13,Week 14,0.02725069403792698,1.2873406373496112,-4.027371265893307,213
14,Week 15,0.6192723098281996,0.7861097746187498,-3.4319957930415654,58
15,Week 16,0.6109697033662179,0.760802465905975,-0.989493152040759,24
16,bowl,0.13383198521244566,0.7160327196606142,-2.2329557370573045,231
